Date,VOO_contributed,VOO_dca_value,VOO_lump_sum_value,VTI_contributed,VTI_dca_value,VTI_lump_sum_value,VT_contributed,VT_dca_value,VT_lump_sum_value,EWJ_contributed,EWJ_dca_value,EWJ_lump_sum_value,BND_contributed,BND_dca_value,BND_lump_sum_value,BIL_contributed,BIL_dca_value,BIL_lump_sum_value
2010-09-09,10000.0,10000.0,1930000.0,10000.0,10000.0,1930000.0,10000.0,10000.0,1930000.0,10000.0,10000.0,1930000.0,10000.0,10000.0,1930000.0,10000.0,10000.0,1930000.0
2010-09-10,10000.0,10045.40158604127,1938762.506105965,10000.0,10042.510311026821,1938204.4900281765,10000.0,10041.977902985156,1938101.735276135,10000.0,10071.940327115624,1943884.4831333156,10000.0,9987.79878617313,1927645.1657314142,10000.0,10000.0,1930000.0
2010-09-13,10000.0,10171.734825864778,1963144.8213919022,10000.0,10170.060009300387,1962821.5817949746,10000.0,10198.225118695756,1968257.4479082809,10000.0,10174.715221719143,1963720.0377917946,10000.0,10013.434013732482,1932592.7646503688,10000.0,10000.0,1930000.0
2010-09-14,10000.0,10169.758322757658,1962763.3562922282,10000.0,10168.288932503565,1962479.763973188,10000.0,10228.543096281184,1974108.8175822685,10000.0,10205.546509352602,1969670.4763050524,10000.0,10028.085165665785,1935420.4369734963,10000.0,10002.185939242767,1930421.886273854
2010-09-15,10000.0,10195.418871695656,1967715.8422372616,10000.0,10201.95011461065,1968976.3721198556,10000.0,10237.872441719059,1975909.381251778,10000.0,10184.994941480509,1965704.0237057381,10000.0,10018.321957217891,1933536.137743053,10000.0,10002.185939242767,1930421.886273854
2010-09-16,10000.0,10191.471863973396,1966954.0697468657,10000.0,10198.406173855761,1968292.391554162,10000.0,10212.22137226771,1970958.7248476679,10000.0,10051.384823418213,1939917.270919715,10000.0,10002.438005378976,1930470.5350381422,10000.0,10002.185939242767,1930421.886273854
2010-09-17,10000.0,10201.34438202236,1968859.4657303155,10000.0,10203.7185106656,1969317.6725584606,10000.0,10184.229503813844,1965556.2942360716,10000.0,10020.554191755638,1933966.9590088383,10000.0,10012.222096099922,1932358.864547285,10000.0,10000.0,1930000.0
2010-09-20,10000.0,10367.15269781177,2000860.4706776717,10000.0,10372.00833674979,2001797.6089927095,10000.0,10340.487577255151,1995714.102410244,10000.0,10195.269413474784,1967686.9968006331,10000.0,10019.536858032314,1933770.6136002366,10000.0,10000.0,1930000.0
2010-09-21,10000.0,10335.571637290384,1994765.3259970443,10000.0,10347.208793691178,1997011.2971823972,10000.0,10333.48817308909,1994363.2174061944,10000.0,10082.215455080786,1945867.5828305918,10000.0,10056.172568717968,1940841.3057625678,10000.0,10000.0,1930000.0
2010-09-22,10000.0,10280.297533200153,1984097.4239076297,10000.0,10292.291115699749,1986412.1853300515,10000.0,10321.827608999323,1992112.7285368694,10000.0,10051.384823418213,1939917.270919715,10000.0,10064.71640157864,1942490.2655046775,10000.0,10000.0,1930000.0
