ticker,start,end,months,monthly_contribution,total_contributed,final_value,gain,return_on_contributions,lump_sum_final_value,dca_vs_lump_sum,dca_max_drawdown,dca_drawdown_trough,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_drawdown_trough,lump_sum_days_to_recover,dca_worst_vs_contributed,dca_share_days_below_contributed
VOO,2010-09-09,2026-09-21,193,10000.0,1930000.0,7233992.239367463,5303992.239367463,2.748182507444281,18026590.387176666,-0.5987043537355012,-0.33965851320808016,2020-03-23,136.0,-0.33992982231722924,2020-03-23,140.0,-0.10564894907206512,0.016865079365079364
VTI,2010-09-09,2026-09-21,193,10000.0,1930000.0,6903651.213938247,4973651.213938247,2.5770213543721487,17229391.11773711,-0.599309623493824,-0.34972109355601455,2020-03-23,140.0,-0.3500028044175808,2020-03-23,142.0,-0.11665582402654728,0.017609126984126984
VT,2010-09-09,2026-09-21,193,10000.0,1930000.0,5399406.544148311,3469406.544148311,1.7976199710613012,10397918.795287516,-0.4807223781555787,-0.3420277426291334,2020-03-23,148.0,-0.3423621375847057,2020-03-23,154.0,-0.15537060360107746,0.04117063492063492
EWJ,2010-09-09,2026-09-21,193,10000.0,1930000.0,4252664.730083622,2322664.730083622,1.2034532280226022,6502203.593815218,-0.34596561477578425,-0.3232899241128857,2022-10-20,495.0,-0.33144072947341685,2022-10-20,503.0,-0.13028671207305487,0.09399801587301587
BND,2010-09-09,2026-09-21,193,10000.0,1930000.0,2208054.670591417,278054.67059141677,0.14406977750850603,2694109.1749100685,-0.18041381130550382,-0.17948075807633435,2022-10-20,1092.0,-0.1858213980678658,2022-10-20,,-0.022983174644693682,0.026041666666666668
BIL,2010-09-09,2026-09-21,193,10000.0,1930000.0,2313055.5031482456,383055.5031482456,0.19847435396282154,2413531.942271616,-0.04163045757281414,-0.0026934555277835504,2015-12-09,489.0,-0.004316439619470924,2015-12-09,583.0,-0.002639043399445873,0.3732638888888889
