predictor,segment,bin_lower,bin_upper,observations,mean_predicted,observed_rate
ml:hist_gradient_boosting/base,validation,0.3,0.4,89,0.3460571016,0.8651685393
ml:hist_gradient_boosting/base,validation,0.4,0.5,61,0.4572630215,0.8032786885
ml:hist_gradient_boosting/base,validation,0.5,0.6,52,0.5439503494,0.7884615385
ml:hist_gradient_boosting/base,validation,0.6,0.7,75,0.6714584031,0.4266666667
ml:hist_gradient_boosting/base,validation,0.7,0.8,158,0.7406784979,0.582278481
ml:hist_gradient_boosting/base,validation,0.8,0.9,186,0.8537069148,0.6021505376
ml:hist_gradient_boosting/base,validation,0.9,1,0,,
ml:hist_gradient_boosting/base,test,0,0.1,0,,
ml:hist_gradient_boosting/base,test,0.1,0.2,0,,
ml:hist_gradient_boosting/base,test,0.2,0.3,0,,
ml:hist_gradient_boosting/base,test,0.3,0.4,7,0.3999842193,0
ml:hist_gradient_boosting/base,test,0.4,0.5,39,0.4491909009,0.5897435897
ml:hist_gradient_boosting/base,test,0.5,0.6,9,0.5745565659,0.2222222222
ml:hist_gradient_boosting/base,test,0.6,0.7,577,0.6494528963,0.7452339688
ml:hist_gradient_boosting/base,test,0.7,0.8,267,0.7264247164,0.6891385768
ml:hist_gradient_boosting/base,test,0.8,0.9,13,0.8509937894,1
ml:hist_gradient_boosting/base,test,0.9,1,0,,
ml:hist_gradient_boosting/extended,validation,0,0.1,0,,
ml:hist_gradient_boosting/extended,validation,0.1,0.2,31,0.1846721292,0.3870967742
ml:hist_gradient_boosting/extended,validation,0.2,0.3,103,0.2515052156,0.8252427184
ml:hist_gradient_boosting/extended,validation,0.3,0.4,84,0.3554471004,0.7738095238
ml:hist_gradient_boosting/extended,validation,0.4,0.5,54,0.4468695739,0.7592592593
ml:hist_gradient_boosting/extended,validation,0.5,0.6,38,0.562335563,0.8157894737
ml:hist_gradient_boosting/extended,validation,0.6,0.7,90,0.6491203876,0.4222222222
ml:hist_gradient_boosting/extended,validation,0.7,0.8,183,0.7473238694,0.5409836066
ml:hist_gradient_boosting/extended,validation,0.8,0.9,134,0.8388900709,0.6492537313
ml:hist_gradient_boosting/extended,validation,0.9,1,19,0.9010878183,1
ml:hist_gradient_boosting/extended,test,0,0.1,0,,
ml:hist_gradient_boosting/extended,test,0.1,0.2,0,,
ml:hist_gradient_boosting/extended,test,0.2,0.3,0,,
ml:hist_gradient_boosting/extended,test,0.3,0.4,13,0.3720960934,0.3076923077
ml:hist_gradient_boosting/extended,test,0.4,0.5,19,0.435964389,0.6842105263
ml:hist_gradient_boosting/extended,test,0.5,0.6,44,0.5739831365,0.3181818182
ml:hist_gradient_boosting/extended,test,0.6,0.7,499,0.6558121493,0.7735470942
ml:hist_gradient_boosting/extended,test,0.7,0.8,274,0.7473936519,0.6934306569
ml:hist_gradient_boosting/extended,test,0.8,0.9,63,0.8303470094,0.7142857143
ml:hist_gradient_boosting/extended,test,0.9,1,0,,
baseline:historical_mean,validation,0,0.1,0,,
baseline:historical_mean,validation,0.1,0.2,0,,
baseline:historical_mean,validation,0.2,0.3,0,,
baseline:historical_mean,validation,0.3,0.4,0,,
baseline:historical_mean,validation,0.4,0.5,0,,
baseline:historical_mean,validation,0.5,0.6,0,,
baseline:historical_mean,validation,0.6,0.7,736,0.6959459459,0.6480978261
baseline:historical_mean,validation,0.7,0.8,0,,
baseline:historical_mean,validation,0.8,0.9,0,,
baseline:historical_mean,validation,0.9,1,0,,
baseline:historical_mean,test,0,0.1,0,,
baseline:historical_mean,test,0.1,0.2,0,,
baseline:historical_mean,test,0.2,0.3,0,,
baseline:historical_mean,test,0.3,0.4,0,,
baseline:historical_mean,test,0.4,0.5,0,,
baseline:historical_mean,test,0.5,0.6,0,,
baseline:historical_mean,test,0.6,0.7,912,0.6856435644,0.7149122807
baseline:historical_mean,test,0.7,0.8,0,,
baseline:historical_mean,test,0.8,0.9,0,,
baseline:historical_mean,test,0.9,1,0,,
