predictor,model,feature_set,features,hyperparameters,hyperparameter_candidates,complexity,complexity_unit,train_roc_auc,train_accuracy,validation_roc_auc,validation_accuracy,test_roc_auc,test_accuracy,train_minus_validation_roc_auc,validation_minus_test_roc_auc,walk_forward_roc_auc_mean,walk_forward_roc_auc_std,walk_forward_years_above_0_5,seed_validation_roc_auc_mean,seed_validation_roc_auc_std,seed_validation_roc_auc_min,seed_validation_roc_auc_max
ml:logistic_regression/base,logistic_regression,base,10,"{""C"": 0.01}",3,11,coefficients,0.6206349206,0.7017374517,0.433703245,0.5760869565,0.518416706,0.7149122807,0.1869316756,-0.08471346097,0.5553087458,0.1091541319,0.7272727273,,,,
ml:logistic_regression/extended,logistic_regression,extended,19,"{""C"": 0.01}",3,20,coefficients,0.6741100324,0.7075289575,0.4872959213,0.597826087,0.5203456819,0.7094298246,0.1868141111,-0.03304976067,0.6046125847,0.1537016754,0.6363636364,,,,
ml:random_forest/base,random_forest,base,10,"{""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 300}",4,3888,tree nodes,0.7738909803,0.7374517375,0.4601879508,0.472826087,0.5448885087,0.7149122807,0.3137030296,-0.08470055798,0.5852764113,0.1076248544,0.7272727273,0.4487012619,0.001691864868,0.4467756166,0.4509927717
ml:random_forest/extended,random_forest,extended,19,"{""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 300}",4,14290,tree nodes,0.9285075843,0.7572393822,0.4671733728,0.4714673913,0.5451923077,0.7269736842,0.4613342114,-0.07801893486,0.5861850475,0.1453180053,0.7272727273,0.4620569356,0.004614417537,0.4570797212,0.4681932606
ml:hist_gradient_boosting/base,hist_gradient_boosting,base,10,"{""learning_rate"": 0.05, ""max_depth"": 2, ""max_iter"": 50}",4,50,boosting iterations,0.7915175132,0.736969112,0.4416438001,0.464673913,0.5431836951,0.7149122807,0.349873713,-0.101539895,0.5431051775,0.1248940914,0.5454545455,0.4416438001,0,0.4416438001,0.4416438001
ml:hist_gradient_boosting/extended,hist_gradient_boosting,extended,19,"{""learning_rate"": 0.05, ""max_depth"": 2, ""max_iter"": 50}",4,50,boosting iterations,0.8194934284,0.7471042471,0.4645750872,0.4660326087,0.526285984,0.7127192982,0.3549183412,-0.06171089674,0.5454266589,0.1541166427,0.4545454545,0.4645750872,0,0.4645750872,0.4645750872
