,VOO,VTI,VT,EWJ,BND,BIL
VOO,1.0,0.995613,0.967177,0.720563,0.039404,-0.019305
VTI,0.995613,1.0,0.970095,0.723353,0.045732,-0.020644
VT,0.967177,0.970095,1.0,0.789315,0.054735,-0.015824
EWJ,0.720563,0.723353,0.789315,1.0,0.069792,0.006031
BND,0.039404,0.045732,0.054735,0.069792,1.0,0.0189
BIL,-0.019305,-0.020644,-0.015824,0.006031,0.0189,1.0
