Date,VOO,VTI,VT,EWJ,BND,BIL
2010-09-09,76.31312561035156,42.69001770019531,29.86344718933105,29.07672691345215,51.149375915527344,73.22467803955078
2010-09-10,76.65959930419922,42.87149429321289,29.988807678222656,29.28590583801269,51.08696746826172,73.22467803955078
2010-09-13,77.62368774414062,43.4160041809082,30.455415725708008,29.584741592407227,51.21809005737305,73.22467803955078
2010-09-14,77.60860443115234,43.40844345092773,30.545955657958984,29.674388885498047,51.29302978515625,73.24068450927734
2010-09-15,77.80442810058594,43.55214309692383,30.57381629943848,29.61463165283203,51.24309158325195,73.24068450927734
2010-09-16,77.77430725097656,43.53701400756836,30.49721336364746,29.226137161254883,51.16184616088867,73.24068450927734
2010-09-17,77.84964752197266,43.5596923828125,30.413619995117188,29.13649177551269,51.211891174316406,73.22467803955078
2010-09-20,79.11498260498047,44.27812194824219,30.880260467529297,29.644506454467773,51.249305725097656,73.22467803955078
2010-09-21,78.87397766113281,44.1722526550293,30.859357833862305,29.31578254699707,51.43669509887695,73.22467803955078
2010-09-22,78.45216369628906,43.93780899047852,30.824535369873047,29.226137161254883,51.48039627075195,73.22467803955078
2010-09-23,77.80442810058594,43.5596923828125,30.504159927368164,29.10660552978516,51.49287414550781,73.22467803955078
2010-09-24,79.39321899414062,44.48480987548828,31.22848129272461,29.49509048461914,51.37422943115234,73.24068450927734
2010-09-27,79.01457977294922,44.29477310180664,31.110076904296875,29.644506454467773,51.59281921386719,73.24068450927734
2010-09-28,79.52954864501953,44.54562377929688,31.305084228515625,29.7640380859375,51.70523071289063,73.22467803955078
2010-09-29,79.15086364746094,44.4696044921875,31.277231216430664,29.9134578704834,51.64900588989258,73.22467803955078
2010-09-30,79.02970886230469,44.370792388916016,31.193649291992188,29.554855346679688,51.62405776977539,73.22467803955078
2010-10-01,79.3023452758789,44.56844329833984,31.451322555541992,29.61463165283203,51.58209609985352,73.22467803955078
2010-10-04,78.63591766357422,44.17314529418945,31.165796279907227,29.046838760375977,51.71355819702149,73.24068450927734
2010-10-05,80.3625259399414,45.09294128417969,31.89705848693848,29.973222732543945,51.7260856628418,73.22467803955078
2010-10-06,80.22623443603516,45.04731750488281,31.96670150756836,30.30194854736328,51.8450927734375,73.22467803955078
2010-10-07,80.1807861328125,44.98651123046875,31.89009475708008,30.42148208618164,51.93279266357422,73.22467803955078
2010-10-08,80.78662872314453,45.29058074951172,32.07813262939453,30.570898056030277,51.87013626098633,73.22467803955078
2010-10-11,80.65031433105469,45.3590087890625,32.0502815246582,30.51112365722656,51.85138320922852,73.22467803955078
2010-10-12,81.11980438232422,45.51864242553711,32.09207534790039,30.24217796325684,51.80126953125,73.22467803955078
2010-10-13,81.6044692993164,45.87590789794922,32.4402961730957,30.33182716369629,51.8826904296875,73.22467803955078
2010-10-14,81.30156707763672,45.75429534912109,32.4542121887207,30.541015625,51.68225860595703,73.24068450927734
2010-10-15,81.45301818847656,45.792293548583984,32.426353454589844,30.30194854736328,51.56328201293945,73.22467803955078
2010-10-18,82.04366302490234,46.04314041137695,32.50295639038086,30.51112365722656,51.75745391845703,73.24068450927734
2010-10-19,80.74116516113281,45.37419509887695,31.813478469848636,30.24217796325684,51.83256149291992,73.22467803955078
2010-10-20,81.6044692993164,45.83030319213867,32.342769622802734,30.481250762939453,51.81378173828125,73.22467803955078
2010-10-21,81.72564697265625,45.90632629394531,32.30101013183594,30.092758178710938,51.76991271972656,73.22467803955078
2010-10-22,81.92253112792969,46.04314041137695,32.37063980102539,30.33182716369629,51.73863983154297,73.24068450927734
2010-10-25,82.16485595703125,46.19518280029297,32.51689910888672,30.36170768737793,51.76991271972656,73.22467803955078
2010-10-26,82.14973449707031,46.18757247924805,32.384578704833984,30.0628719329834,51.62590408325195,73.24068450927734
2010-10-27,81.89224243164062,46.09634780883789,32.13383865356445,29.973222732543945,51.51943588256836,73.24068450927734
2010-10-28,81.95281982421875,46.09634780883789,32.342769622802734,30.0628719329834,51.694766998291016,73.22467803955078
2010-10-29,82.0134048461914,46.15717315673828,32.37761688232422,29.943342208862305,51.78872680664063,73.24068450927734
2010-11-01,82.058837890625,46.164772033691406,32.35670471191406,29.644506454467773,51.78749847412109,73.24068450927734
2010-11-02,82.6949462890625,46.5296630859375,32.7467155456543,29.853683471679688,51.87540054321289,73.20873260498047
2010-11-03,83.04330444335938,46.71969985961914,32.92082214355469,29.943342208862305,51.931922912597656,73.22467803955078
2010-11-04,84.6032943725586,47.63190078735352,33.617279052734375,30.630664825439453,52.09518051147461,73.22467803955078
2010-11-05,84.93650817871094,47.84474182128906,33.61030960083008,30.899621963500977,51.87540054321289,73.22467803955078
2010-11-08,84.8304443359375,47.78392028808594,33.498878479003906,30.899621963500977,51.88794708251953,73.22467803955078
2010-11-09,84.16407012939453,47.41143035888672,33.199405670166016,30.6904411315918,51.62419509887695,73.22467803955078
2010-11-10,84.48210906982422,47.61671447753906,33.27600860595703,31.049036026000977,51.60536193847656,73.22467803955078
2010-11-11,84.20951080322266,47.487449645996094,33.1297607421875,30.86973571777344,51.62419509887695,73.20873260498047
2010-11-12,83.16447448730469,46.88694381713867,32.69100570678711,30.630664825439453,51.391845703125,73.24068450927734
2010-11-15,83.08875274658203,46.81851196289063,32.663143157958984,30.630664825439453,51.14698791503906,73.24068450927734
2010-11-16,81.75591278076172,46.07355117797852,32.00151062011719,30.092758178710938,51.316524505615234,73.24068450927734
2010-11-17,81.8165054321289,46.14957809448242,32.09207534790039,30.541015625,51.32906723022461,73.24068450927734
2010-11-18,83.02816772460938,46.79571914672852,32.7467155456543,31.3179931640625,51.32906723022461,73.22467803955078
2010-11-19,83.2250747680664,46.98575210571289,32.7467155456543,31.347856521606445,51.34164047241211,73.22467803955078
2010-11-22,83.14929962158203,46.99334335327149,32.62831497192383,31.258220672607425,51.49236297607422,73.22467803955078
2010-11-23,81.98310089111328,46.32440948486328,31.855283737182617,30.660551071166992,51.50489807128906,73.22467803955078
2010-11-24,83.04330444335938,47.0693588256836,32.34974670410156,31.198455810546875,51.259986877441406,73.24068450927734
2010-11-26,82.57377624511719,46.750099182128906,31.987586975097656,30.6904411315918,51.3792724609375,73.24068450927734
2010-11-29,82.49805450439453,46.68168258666992,31.813478469848636,30.8398494720459,51.41699600219727,73.24068450927734
2010-11-30,81.92253112792969,46.392822265625,31.52096366882324,30.6904411315918,51.435813903808594,73.24068450927734
2010-12-01,83.77030944824219,47.38863754272461,32.328834533691406,31.3179931640625,51.12104034423828,73.22467803955078
2010-12-02,84.86076354980469,47.99676132202149,32.92082214355469,31.6168270111084,51.07691192626953,73.22467803955078
2010-12-03,85.07282257080078,48.14881134033203,33.08100509643555,31.796127319335938,51.15875625610352,73.24068450927734
