strategy,ticker,entry_date,exit_date,holding_days,cost,proceeds,profit,return
Momentum top 1,BND,2019-08-02,2019-11-04,94,12225.02136,12358.87443,133.8530628,0.01094910666
Momentum top 1,BND,2020-04-02,2020-06-02,61,10208.00346,10435.68959,227.686133,0.02230466848
Momentum top 1,BND,2020-07-02,2020-08-04,33,10599.43531,10731.44605,132.0107484,0.01245450768
Momentum top 1,VT,2013-01-03,2013-02-04,32,10660.91118,10836.64357,175.7323888,0.01648380573
Momentum top 1,VT,2017-06-02,2018-03-02,273,12192.71964,13451.42181,1258.702168,0.1032339137
Momentum top 1,VT,2021-02-02,2021-03-02,28,12490.49228,12623.89146,133.3991821,0.01068005801
Momentum top 1,VT,2021-04-05,2021-07-02,88,13287.79174,13959.62425,671.8325177,0.05056013302
Momentum top 1,VT,2025-06-03,2025-08-04,62,19865.24145,20832.41198,967.1705296,0.04868657308
Momentum top 1,VT,2026-05-04,2026-06-02,29,24582.9733,25966.19544,1383.222142,0.05626748745
Momentum top 1,EWJ,2013-05-02,2013-06-04,33,11607.49645,10986.14489,-621.3515564,-0.05353019569
Momentum top 1,EWJ,2013-07-02,2014-01-03,185,10840.4946,11443.73754,603.2429418,0.05564717884
Momentum top 1,EWJ,2015-04-02,2015-07-02,91,13144.5316,13403.08776,258.5561599,0.01967024522
Momentum top 1,EWJ,2015-12-02,2016-03-02,91,12442.2528,11354.82643,-1087.426368,-0.087397868
Momentum top 1,EWJ,2017-04-04,2017-05-02,28,11827.17329,11950.00098,122.8276848,0.01038521055
Momentum top 1,EWJ,2018-03-02,2018-06-04,94,13451.42181,13545.42517,94.00336622,0.006988359117
Momentum top 1,EWJ,2023-05-02,2023-07-05,64,13885.2917,14743.00624,857.7145362,0.06177144526
Momentum top 1,EWJ,2023-09-05,2023-12-04,90,14921.34228,14934.71251,13.37022511,0.0008960470751
Momentum top 1,EWJ,2025-11-04,2026-05-04,181,22318.3988,24582.9733,2264.574503,0.1014667102
Momentum top 1,BIL,2019-01-03,2019-02-04,32,12194.78201,12191.57108,-3.210931152,-0.0002633036941
Momentum top 1,BIL,2022-06-02,2023-05-02,334,13542.87016,13885.2917,342.4215424,0.02528426681
