Price,Close,High,Low,Open,Volume
Ticker,EWJ,EWJ,EWJ,EWJ,EWJ
Date,,,,,
1996-03-18,38.45407485961914,38.45407485961914,38.294514383023206,38.294514383023206,16300
1996-03-19,38.29450988769531,38.29450988769531,38.29450988769531,38.29450988769531,2500
1996-03-20,38.29450988769531,38.29450988769531,38.29450988769531,38.29450988769531,4350
1996-03-21,39.251861572265625,39.251861572265625,38.61361992068407,38.61361992068407,18300
1996-03-22,39.092315673828125,39.2518761459662,38.93275520169005,38.93275520169005,19825
1996-03-25,39.41142654418945,39.570986975542446,39.09230568148347,39.570986975542446,65275
1996-03-26,39.41142654418945,39.570986975542446,39.25186611283646,39.41142654418945,94075
1996-03-27,39.73055648803711,39.890116955860556,39.57099602021367,39.73055648803711,24000
1996-03-28,39.73055648803711,39.890116955860556,39.57099602021367,39.57099602021367,102575
1996-03-29,40.04967498779297,40.209235445911666,39.89011452967427,39.89011452967427,254525
1996-04-01,40.04967498779297,40.209235445911666,40.04967498779297,40.209235445911666,80875
1996-04-02,40.36878967285156,40.36878967285156,40.20922923936203,40.20922923936203,6100
1996-04-03,40.04967498779297,40.209235445911666,39.89011452967427,40.209235445911666,25775
1996-04-04,40.20923614501953,40.20923614501953,40.0496756841266,40.0496756841266,25450
1996-04-08,39.57099151611328,39.890112415436775,39.57099151611328,39.890112415436775,15525
1996-04-09,40.20923614501953,40.20923614501953,39.890115223233664,40.0496756841266,276600
1996-04-10,39.890106201171875,40.209227050781244,39.890106201171875,40.04966662597656,71350
1996-04-11,39.890106201171875,40.04966662597656,39.890106201171875,39.890106201171875,1300
1996-04-12,40.04967498779297,40.04967498779297,39.89011452967427,39.89011452967427,450
1996-04-15,40.20923614501953,40.20923614501953,40.0496756841266,40.0496756841266,131250
1996-04-16,40.20923614501953,40.36879660591247,40.0496756841266,40.0496756841266,60900
1996-04-17,40.04967498779297,40.04967498779297,39.89011452967427,40.04967498779297,18300
1996-04-18,40.20923614501953,40.36879660591247,40.0496756841266,40.20923614501953,21350
1996-04-19,40.687923431396484,40.847483915441174,40.52836294735179,40.52836294735179,9750
1996-04-22,41.96440124511719,41.96440124511719,41.16659894007693,41.16659894007693,35500
1996-04-23,41.64527893066406,41.64527893066406,41.485718474991025,41.485718474991025,11975
1996-04-24,42.12394714355469,42.12394714355469,41.6452659260143,41.6452659260143,260600
1996-04-25,41.96440124511719,42.123961706125236,41.80484078410913,41.80484078410913,6550
1996-04-26,42.12394714355469,42.283507549401484,41.80482633186109,42.283507549401484,7600
1996-04-29,41.804832458496094,42.283513746188795,41.80483245849609,42.123953316957895,10700
1996-04-30,41.96440124511719,41.96440124511719,41.80484078410913,41.96440124511719,10425
1996-05-01,41.96440124511719,41.96440124511719,41.485719862093035,41.485719862093035,7175
1996-05-02,41.4857292175293,41.64528971451979,41.1666082235483,41.1666082235483,15300
1996-05-03,41.4857292175293,41.4857292175293,41.326168720538796,41.4857292175293,13475
1996-05-06,41.3261604309082,41.64528136087661,41.16659996592401,41.485720895892406,44525
1996-05-07,41.3261604309082,41.3261604309082,41.007039500939804,41.16659996592401,51075
1996-05-08,41.4857292175293,41.4857292175293,40.84748722956731,41.4857292175293,5100
1996-05-09,41.3261604309082,41.3261604309082,41.16659996592401,41.16659996592401,19275
1996-05-10,41.00703430175781,41.166594746511734,40.84747385700389,41.166594746511734,4000
1996-05-13,40.36878967285156,40.528350106341094,40.20922923936203,40.528350106341094,5100
1996-05-14,40.687923431396484,40.687923431396484,40.52836294735179,40.687923431396484,13400
1996-05-15,41.00703430175781,41.166594746511734,40.84747385700389,41.166594746511734,134775
1996-05-16,41.16660690307617,41.16660690307617,40.8474859193314,41.16660690307617,2350
1996-05-17,40.84748077392578,41.00704124569893,40.687920302152634,40.84748077392578,5625
1996-05-20,40.687923431396484,40.847483915441174,40.687923431396484,40.847483915441174,1825
1996-05-21,40.528350830078125,40.528350830078125,40.528350830078125,40.528350830078125,9950
1996-05-22,40.36878967285156,40.528350106341094,40.36878967285156,40.528350106341094,650
1996-05-23,40.04967498779297,40.209235445911666,39.89011452967427,40.209235445911666,7325
1996-05-24,39.890106201171875,39.890106201171875,39.890106201171875,39.890106201171875,4050
1996-05-28,39.890106201171875,39.890106201171875,39.5709853515625,39.5709853515625,11975
1996-05-29,39.890106201171875,39.890106201171875,39.73054577636719,39.73054577636719,27875
1996-05-30,40.04967498779297,40.209235445911666,39.730554071555574,40.209235445911666,4850
1996-05-31,40.04967498779297,40.04967498779297,39.730554071555574,39.730554071555574,1875
1996-06-03,39.41142654418945,39.73054740689545,39.41142654418945,39.73054740689545,2600
1996-06-04,39.73055648803711,39.73055648803711,39.41143555239023,39.41143555239023,1025
1996-06-05,39.57099151611328,39.73055196577503,39.411431066451534,39.73055196577503,8800
1996-06-06,39.57099151611328,39.57099151611328,39.57099151611328,39.57099151611328,2150
1996-06-07,39.251861572265625,39.251861572265625,38.93274074647485,38.93274074647485,9875
1996-06-10,39.251861572265625,39.251861572265625,38.93274074647485,39.251861572265625,14700
1996-06-11,39.41142654418945,39.41142654418945,39.41142654418945,39.41142654418945,225
1996-06-12,39.890106201171875,39.890106201171875,39.5709853515625,39.5709853515625,20525
1996-06-13,40.04967498779297,40.04967498779297,39.57099361343688,39.89011452967427,26700
1996-06-14,40.20923614501953,40.36879660591247,40.0496756841266,40.0496756841266,79225
1996-06-17,40.04967498779297,40.209235445911666,39.89011452967427,40.209235445911666,14525
1996-06-18,40.528350830078125,40.528350830078125,40.36879039373923,40.36879039373923,29625
1996-06-19,40.687923431396484,40.687923431396484,40.3688024633071,40.52836294735179,8500
1996-06-20,40.84748077392578,40.84748077392578,40.528359830379486,40.687920302152634,2500
1996-06-21,41.16660690307617,41.16660690307617,40.52836493558662,40.52836493558662,36225
1996-06-24,40.528350830078125,41.326153011772575,40.528350830078125,41.326153011772575,131350
1996-06-25,40.36878967285156,40.847470973320156,40.36878967285156,40.687910539830625,20200
1996-06-26,40.528350830078125,40.68791126641701,40.528350830078125,40.68791126641701,5050
1996-06-27,40.528350830078125,40.528350830078125,40.528350830078125,40.528350830078125,2350
1996-06-28,40.528350830078125,40.528350830078125,40.528350830078125,40.528350830078125,725
1996-07-01,40.36878967285156,40.36878967285156,40.20922923936203,40.20922923936203,2250
1996-07-02,39.890106201171875,40.04966662597656,39.5709853515625,39.890106201171875,4725
1996-07-03,39.890106201171875,39.890106201171875,39.890106201171875,39.890106201171875,225
1996-07-05,39.092315673828125,39.570997090242344,39.092315673828125,39.570997090242344,925
1996-07-08,38.77318572998047,39.09230660018607,38.61362529487767,38.93274616508327,5450
1996-07-09,38.932769775390625,38.932769775390625,38.613648711657916,38.77320924352427,37700
1996-07-10,38.77318572998047,38.77318572998047,38.454064859774874,38.77318572998047,31350
