Price,Close,High,Low,Open,Volume
Ticker,BIL,BIL,BIL,BIL,BIL
Date,,,,,
2007-05-30,70.1623764038086,70.1623764038086,70.08578109051201,70.14705967868841,1550
2007-05-31,70.1623764038086,70.1623764038086,70.14705967868841,70.14705967868841,11200
2007-06-01,70.17766571044922,70.17766571044922,70.17766571044922,70.17766571044922,1450
2007-06-04,70.19297790527344,70.19297790527344,70.19297790527344,70.19297790527344,1050
2007-06-05,70.19297790527344,70.22361718286513,70.19297790527344,70.20830046599161,3750
2007-06-06,70.2236328125,70.2236328125,70.19299352808893,70.19299352808893,9750
2007-06-07,70.20835876464844,70.20835876464844,70.19303619120691,70.19303619120691,12150
2007-06-08,70.2236328125,70.2236328125,70.17767680780639,70.2236328125,7850
2007-06-11,70.25428771972656,70.25428771972656,70.22364842850209,70.22364842850209,2400
2007-06-12,70.19297790527344,70.25425646045682,70.19297790527344,70.25425646045682,3900
2007-06-13,70.25428771972656,70.25428771972656,70.19300913727761,70.19300913727761,3750
2007-06-14,70.28495025634766,70.28495025634766,70.28495025634766,70.28495025634766,13400
2007-06-15,70.34617614746094,70.34617614746094,70.26958086702213,70.31554271036165,1050
2007-06-18,70.36150360107422,70.37682032068861,70.31554759838534,70.33086431799973,28000
2007-06-19,70.36150360107422,70.36150360107422,70.36150360107422,70.36150360107422,850
2007-06-20,70.37679290771484,70.39211546520654,70.34615363657488,70.34615363657488,3100
2007-06-21,70.37679290771484,70.39211546520654,70.36147619406658,70.36147619406658,850
2007-06-22,70.43809509277344,70.43809509277344,70.39213909255993,70.39213909255993,2200
2007-06-25,70.407470703125,70.407470703125,70.39215398109602,70.39215398109602,29700
2007-06-26,70.42279052734375,70.42279052734375,70.39215124063197,70.40746796206466,5100
2007-06-27,70.407470703125,70.4381099910296,70.407470703125,70.4381099910296,8200
2007-06-28,70.43809509277344,70.43809509277344,70.43809509277344,70.43809509277344,900
2007-06-29,70.46878051757812,70.46878051757812,70.42282448727234,70.43814121609118,5650
2007-07-02,70.4887924194336,70.55033678208962,70.47340192645467,70.4887924194336,13050
2007-07-03,70.4887924194336,70.4887924194336,70.44262681025005,70.44262681025005,3000
2007-07-05,70.4887924194336,70.4887924194336,70.42724218702435,70.47340192645467,5450
2007-07-06,70.5195083618164,70.5195083618164,70.50411788175182,70.50411788175182,3800
2007-07-09,70.5349349975586,70.5349349975586,70.47338478012465,70.47338478012465,3950
2007-07-10,70.55030059814453,70.55030059814453,70.51953136747412,70.51953136747412,5250
2007-07-11,70.55030059814453,70.55030059814453,70.48875626705346,70.55030059814453,9100
2007-07-12,70.56571197509766,70.56571197509766,70.53493686556565,70.56571197509766,14700
2007-07-13,70.5810317993164,70.5810317993164,70.55025671803692,70.56564719354995,13050
2007-07-16,70.59649658203125,70.61188120399098,70.56572146835904,70.61188120399098,16150
2007-07-17,70.6272201538086,70.6272201538086,70.5656699713819,70.6272201538086,46500
2007-07-18,70.61186981201172,70.61186981201172,70.55031959459735,70.59648519253403,5450
2007-07-19,70.6272201538086,70.64260476454103,70.58105458211433,70.6272201538086,13900
2007-07-20,70.65800476074219,70.67339524457431,70.65800476074219,70.67339524457431,8000
2007-07-23,70.65800476074219,70.67339524457431,70.64262014665981,70.65800476074219,6950
2007-07-24,70.65800476074219,70.67339524457431,70.64262014665981,70.65800476074219,9350
2007-07-25,70.67338562011719,70.68877023210445,70.67338562011719,70.67338562011719,9800
2007-07-26,70.68876647949219,70.70415696041137,70.62722216506135,70.67338186832164,41050
2007-07-27,70.71957397460938,70.78112418699055,70.48876948280693,70.67341425019914,153800
2007-07-30,70.65800476074219,70.7349454404033,70.65800476074219,70.7041703424888,10300
2007-07-31,70.75028228759766,70.75028228759766,70.71950721046089,70.75028228759766,54000
2007-08-01,70.72718048095703,70.75807991354051,70.68083427881388,70.74263314398085,18650
2007-08-02,70.7426528930664,70.7426528930664,70.66540723677525,70.68085401064717,49750
2007-08-03,70.71170043945312,70.78894603783343,70.71170043945312,70.77349927554192,26200
2007-08-06,70.78897094726562,70.80442360845605,70.75807151834825,70.78897094726562,22300
2007-08-07,70.80440521240234,70.819851976116,70.74260637062386,70.80440521240234,13950
2007-08-08,70.7735366821289,70.8198828869606,70.75808401820868,70.80443611650486,19750
2007-08-09,70.83529663085938,70.86619605082865,70.80440310435185,70.81984986760561,103150
2007-08-10,70.88167572021484,70.8971224893553,70.8662230576104,70.88167572021484,112100
2007-08-13,70.89710998535156,70.91256264523065,70.86621055905633,70.88166321893543,71800
2007-08-14,70.88167572021484,70.91257515195974,70.8662230576104,70.88167572021484,130650
2007-08-15,70.89710998535156,70.94345617806292,70.88166321893543,70.91256264523065,40400
2007-08-16,70.98979949951172,71.0670451089812,70.897101232071,70.897101232071,122850
2007-08-17,71.03611755371094,71.05157020556238,70.81982757546989,70.83527433386143,84750
2007-08-20,71.09793853759766,71.14428472067972,71.0052402779718,71.0052402779718,19750
2007-08-21,71.08247375488281,71.11337316948693,70.98978140453119,71.11337316948693,157700
2007-08-22,71.08247375488281,71.08247375488281,70.97432875049876,71.08247375488281,30000
2007-08-23,71.03611755371094,71.05157020556238,70.97431873322495,71.05157020556238,40250
2007-08-24,71.02068328857422,71.02068328857422,70.91253828042989,70.94343180264747,14050
2007-08-27,70.92798614501953,71.02068439349725,70.92798614501953,70.97433232252787,36050
2007-08-28,71.00524139404297,71.00524139404297,70.94344255332103,70.94344255332103,29250
2007-08-29,71.0516128540039,71.0516128540039,70.98981399642341,71.03616019287706,10550
2007-08-30,71.06704711914062,71.09794654249487,71.00524827243213,71.09794654249487,31650
2007-08-31,71.0516128540039,71.0516128540039,70.95891456763316,70.97436133529656,9650
2007-09-04,71.06246948242188,71.07798184613577,70.9849254125523,71.04696303494129,10900
2007-09-05,71.07796478271484,71.09347122647286,71.03143361897702,71.07796478271484,21400
2007-09-06,71.07796478271484,71.09347122647286,71.03143361897702,71.09347122647286,14500
2007-09-07,71.12449645996094,71.14000290512077,71.06245884685681,71.12449645996094,16150
2007-09-10,71.13998413085938,71.13998413085938,71.04693365199218,71.10896533249336,35100
2007-09-11,71.06246948242188,71.14001355229146,71.04696303494129,71.06246948242188,10300
2007-09-12,71.17100524902344,71.17100524902344,71.07795476712329,71.0934612086963,3450
2007-09-13,71.15548706054688,71.15548706054688,71.06243067777815,71.06243067777815,25300
2007-09-14,71.20201110839844,71.21751754715336,71.1399735209188,71.1399735209188,32650
2007-09-17,71.23303985595703,71.23303985595703,71.09345822273826,71.20202105788277,17350
2007-09-18,71.18649291992188,71.26403693335737,71.10894299025739,71.20199935611738,232950
2007-09-19,71.21754455566406,71.23305691653185,71.14000050002171,71.23305691653185,66750
2007-09-20,71.17100524902344,71.24854928935058,71.17100524902344,71.24854928935058,22250
2007-09-21,71.20201110839844,71.24853634089318,71.17099231465862,71.18650466964351,23450
2007-09-24,71.26407623291016,71.2950950386359,71.18653217671192,71.2795826776569,57850
2007-09-25,71.27957153320312,71.27957153320312,71.18652104680646,71.18652104680646,59000
2007-09-26,71.20201110839844,71.279555134633,71.20201110839844,71.26404869587807,21250
2007-09-27,71.21754455566406,71.29509452753861,71.20203811102847,71.2795821666708,30100
2007-09-28,71.18649291992188,71.26403693335737,71.18649291992188,71.18649291992188,122600
2007-10-01,71.26435089111328,71.27991157859566,71.20209626732837,71.21765695481076,21900
2007-10-02,71.21763610839844,71.29545733381403,71.21763610839844,71.23320272825194,78200
2007-10-03,71.23323059082031,71.31104590974708,71.217663964878,71.24879127983435,131200
2007-10-04,71.31105041503906,71.31105041503906,71.27992309811614,71.29548972504193,4700
2007-10-05,71.23323059082031,71.35773391371748,71.23323059082031,71.26435790577668,22200
2007-10-08,71.34215545654297,71.35771614168154,71.24877353493117,71.26434015699654,8300
2007-10-09,71.29544067382812,71.3576893279183,71.29544067382812,71.32656796933549,364450
2007-10-10,71.35768127441406,71.37324788887317,71.31099330488455,71.31099330488455,21400
2007-10-11,71.34215545654297,71.3732827637469,71.3265947714044,71.3732827637469,10200
2007-10-12,71.35768127441406,71.38880856640837,71.32655991934365,71.38880856640837,14250
2007-10-15,71.32655334472656,71.37324130995255,71.32655334472656,71.35767469692833,32450
2007-10-16,71.37329864501953,71.3888593336205,71.34217133088946,71.35773201949044,14350
2007-10-17,71.40443420410156,71.40443420410156,71.34217956865298,71.37330688637726,59350
2007-10-18,71.40443420410156,71.46668290262134,71.40443420410156,71.4511222122236,12400
2007-10-19,71.46664428710938,71.46664428710938,71.38882900330891,71.45108360511952,100550
2007-10-22,71.43555450439453,71.45111519326367,71.37329987506149,71.41998787859715,185050
2007-10-23,71.43555450439453,71.46667588213282,71.40442718972801,71.45111519326367,12800
2007-10-24,71.46664428710938,71.46664428710938,71.40439562222437,71.46664428710938,27500
2007-10-25,71.45110321044922,71.46666389670874,71.41997590100296,71.46666389670874,12100
2007-10-26,71.41998291015625,71.48223753515845,71.41998291015625,71.45111022265735,15900
2007-10-29,71.4822006225586,71.4822006225586,71.41994602970396,71.45107332613128,7600
2007-10-30,71.45110321044922,71.497791206155,71.45110321044922,71.497791206155,5250
2007-10-31,71.46664428710938,71.49777158801467,71.45108360511952,71.48221090602482,13200
2007-11-01,71.51508331298828,71.53070129590849,71.46824127725812,71.4838533036631,32750
2007-11-02,71.5619125366211,71.5619125366211,71.4838345555281,71.51506455666257,8750
2007-11-05,71.5619125366211,71.5775245589315,71.51506455666257,71.5619125366211,16800
2007-11-06,71.5619125366211,71.5619125366211,71.49945253435217,71.5619125366211,16800
2007-11-07,71.6087646484375,71.67122465950591,71.51507463183489,71.51507463183489,218850
2007-11-08,71.5619125366211,71.62436658237635,71.54629455779703,71.5775245589315,147400
2007-11-09,71.62437438964844,71.67122237471354,71.59314438510981,71.65560439418707,9400
2007-11-12,71.65559387207031,71.65559387207031,71.60875185039795,71.62436387211758,72400
2007-11-13,71.63996887207031,71.67119886636542,71.60873887777521,71.63996887207031,31400
2007-11-14,71.6087646484375,71.65560667848156,71.5775346429033,71.6087646484375,100950
2007-11-15,71.65559387207031,71.68682387202303,71.57752185044522,71.62436387211758,230900
2007-11-16,71.65559387207031,71.6712118503034,71.62436387211758,71.6712118503034,24450
2007-11-19,71.68683624267578,71.68683624267578,71.59314622664998,71.65560623733386,59150
2007-11-20,71.70242309570312,71.70242309570312,71.60873906907989,71.63996906345842,40950
2007-11-21,71.73368835449219,71.73368835449219,71.65561630842168,71.70245834476093,33550
2007-11-23,71.74928283691406,71.74928283691406,71.68682283790963,71.68682283790963,7650
2007-11-26,71.70242309570312,71.79611307883873,71.6555810823915,71.79611307883873,24350
2007-11-27,71.76487731933594,71.76487731933594,71.68680531791759,71.68680531791759,21100
2007-11-28,71.78050994873047,71.79612196959684,71.70243197485928,71.76489197135099,52700
2007-11-29,71.73368835449219,71.79614837395472,71.7180763278842,71.7180763278842,36550
2007-11-30,71.74928283691406,82.91374855062567,71.70243485940406,71.8117428359185,274300
2007-12-03,71.73208618164062,71.87304467092748,71.73208618164062,71.85738527193537,120050
2007-12-04,71.74771118164062,71.81035471694801,71.7320458168742,71.74771118164062,90750
2007-12-05,71.74771118164062,71.7946953267677,71.7320458168742,71.74771118164062,27900
2007-12-06,71.76336669921875,71.81035084181039,71.68505780337075,71.76336669921875,288200
2007-12-07,71.82603454589844,71.82603454589844,71.73206026213384,71.73206026213384,43900
2007-12-10,71.77906799316406,73.7994648055579,71.77906799316406,71.82605215927428,206050
2007-12-11,71.87303161621094,71.87303161621094,71.73207315252718,71.82604745317914,41800
2007-12-12,71.85738372802734,71.888708499928,71.79473418422604,71.85738372802734,24700
2007-12-13,71.88871002197266,71.90436942095985,71.51281872579571,71.51281872579571,27300
2007-12-14,71.84166717529297,71.90431667446322,71.82600778779295,71.8886572869632,33000
2007-12-17,71.87303161621094,71.92001577924273,71.82604745317914,71.84170684932695,44750
2007-12-18,71.87303161621094,71.87303161621094,71.77906329014735,71.79472268629516,26500
2007-12-19,71.90435028076172,71.92000967558054,71.79471659326627,71.90435028076172,25800
2007-12-20,71.9356689453125,71.9513283388035,71.85736002868268,71.85736002868268,14700
2007-12-21,71.9356689453125,71.9669937068819,71.90434418374309,71.9513283388035,64050
2007-12-24,71.9356689453125,71.9513283388035,71.88868479025207,71.9513283388035,2900
2007-12-26,71.90435028076172,71.95133443980609,71.88869088594288,71.88869088594288,17750
2007-12-27,71.9356689453125,71.9669937068819,71.88868479025207,71.9669937068819,7150
2007-12-28,71.93412017822266,71.98124267250179,71.93412017822266,71.96553317726978,59700
2007-12-31,71.91834259033203,71.98116852370839,71.91834259033203,71.98116852370839,31700
2008-01-02,71.98120880126953,71.98120880126953,71.91838283273849,71.96549931342972,29450
2008-01-03,71.93412017822266,71.98124267250179,71.93412017822266,71.98124267250179,30500
2008-01-04,71.91834259033203,72.0125754989858,71.88692962364385,72.0125754989858,173200
2008-01-07,71.98120880126953,71.98120880126953,71.91838283273849,71.93408632916419,30300
2008-01-08,71.93412017822266,71.99694617631688,71.90270717917555,71.96553317726978,18350
2008-01-09,71.88701629638672,71.99695881664547,71.88701629638672,71.99695881664547,168500
2008-01-10,71.91834259033203,71.96545904465891,71.88692962364385,71.94975555702021,12200
2008-01-11,71.94979858398438,72.01261856351717,71.9340890955404,71.96550208101398,41650
2008-01-14,72.01264190673828,72.02835140027454,71.9498219068421,71.98123490249834,51900
2008-01-15,71.99691009521484,72.0283230785194,71.94979361596498,72.0283230785194,26800
2008-01-16,71.99691009521484,72.0283230785194,71.88696764935587,72.01261359116016,254500
