Price,Close,High,Low,Open,Volume
Ticker,VT,VT,VT,VT,VT
Date,,,,,
2008-06-26,33.7874755859375,34.066879767524235,33.62392071396688,34.01917420516975,15800
2008-06-27,33.73297119140625,35.06184633402154,33.569416247858584,35.06184633402154,26800
2008-06-30,33.760215759277344,35.24582898692985,33.637550256104824,35.24582898692985,23900
2008-07-01,33.46036911010742,33.80110607701123,32.53356674380713,33.48081509586104,55100
2008-07-02,32.96971130371094,33.86244053814385,32.96971130371094,33.76022100270165,74700
2008-07-03,33.05830764770508,33.26275195863918,32.75164638053874,33.235492370565645,17600
2008-07-07,32.99015808105469,33.25593253997992,32.57445850186715,33.24230274726361,55500
2008-07-08,33.051483154296875,33.092372522927036,32.14512164678578,32.79252235220563,54300
2008-07-09,32.66986083984375,33.65799860579911,32.64260385704134,33.65799860579911,28900
2008-07-10,32.61533737182617,32.922001110097725,32.43815272321758,32.922001110097725,20800
2008-07-11,32.47222900390625,32.88111226161345,32.15874906673995,32.88111226161345,22500
2008-07-14,32.36320495605469,33.25593433028683,32.220093424637675,33.25593433028683,37900
2008-07-15,31.8657169342041,32.329119372564016,31.57949915736701,32.076974769214694,24800
2008-07-16,32.51993942260742,32.51993942260742,31.74987309103645,31.92705518344954,23700
2008-07-17,32.935638427734375,33.06511754699714,32.60171503647567,32.92200863629352,26000
2008-07-18,32.901554107666016,33.085552344923954,32.4790410811568,33.0378493870737,18300
2008-07-21,33.00379943847656,33.31727698194451,32.90157725709359,33.31727698194451,18200
2008-07-22,33.187774658203125,33.187774658203125,32.697112689168605,32.91518409771367,29300
2008-07-23,33.44674301147461,33.71251743840117,33.3513344739474,33.65799827409991,47200
2008-07-24,32.710758209228516,33.37860254404616,32.697128414687235,33.37860254404616,39900
2008-07-25,32.85384750366211,32.85384750366211,32.65621950043474,32.710738645993715,9000
2008-07-28,32.329132080078125,33.051495600192055,31.688547328019187,33.051495600192055,71800
2008-07-29,32.64261245727539,32.64261245727539,32.32913237609597,32.39728135009913,19700
2008-07-30,33.187774658203125,33.20140444618922,32.91518409771367,33.01740620780128,33400
2008-07-31,32.85384750366211,33.28317667628324,32.84703391027521,33.28317667628324,14800
2008-08-01,32.663047790527344,34.08732850055304,32.540382267205175,32.840229879983305,46500
2008-08-04,32.186031341552734,33.09920702071636,32.186031341552734,33.09920702071636,27300
2008-08-05,32.97652053833008,33.20140816587134,32.281416870861435,33.18096218179343,35000
2008-08-06,33.194583892822266,33.34450894136289,32.86747682296483,33.08554820286979,22100
2008-08-07,32.43815612792969,33.11963001800902,32.43815612792969,33.11963001800902,45400
2008-08-08,32.867488861083984,32.887932248057744,32.07697916949072,32.47223531509578,40600
2008-08-11,33.06510925292969,33.14688538144516,32.6971127751857,33.01740629466098,34300
2008-08-12,32.6085319519043,33.092380498650826,32.49268261228903,33.092380498650826,34300
2008-08-13,32.247352600097656,32.50631347311022,31.96113474015003,32.50631347311022,44100
2008-08-14,32.39045333862305,32.39045333862305,31.83846114843058,31.83846114843058,87500
2008-08-15,32.36320495605469,32.465424507504224,31.443213395305136,32.438164920604095,21800
2008-08-18,31.824838638305664,32.67668120036087,31.818022442023594,32.67668120036087,23500
2008-08-19,31.55223846435547,31.845272425310526,31.49772190862377,31.845272425310526,25500
2008-08-20,31.83847427368164,31.89299085585614,31.593143154852196,31.89299085585614,20400
2008-08-21,32.08378601074219,32.15193234719763,31.48408837139311,31.48408837139311,20600
2008-08-22,32.25415802001953,32.47222944034317,32.13830611568838,32.3359341527368,22300
2008-08-25,31.66126251220703,32.13148095521015,31.484080521827977,31.484080521827977,50500
2008-08-26,31.824838638305664,31.824838638305664,31.477285417201514,31.51136119937748,37900
2008-08-27,31.8657169342041,32.063344979896286,31.702164661616195,31.797570587228556,26200
2008-08-28,32.54037094116211,32.54037094116211,32.288226386369146,32.485851794387415,34100
2008-08-29,32.247352600097656,32.79934752950455,32.226909209992044,32.79934752950455,20000
2008-09-02,31.347801208496094,32.49949123007663,31.347801208496094,32.24734660042272,28800
2008-09-03,31.45684051513672,31.927056650920886,31.45684051513672,31.620395423019122,30700
2008-09-04,30.298320770263672,31.65445460807581,30.298320770263672,31.65445460807581,114200
2008-09-05,30.100709915161133,30.666334669096376,29.76678906010561,30.666334669096376,75600
2008-09-08,30.952531814575195,31.8248198509149,30.63224096806189,31.8248198509149,54800
2008-09-09,30.182476043701172,31.20468677139794,30.08025393108497,31.20468677139794,42400
2008-09-10,30.427812576293945,30.66632741635219,30.121148782207065,30.632254239146267,50300
2008-09-11,30.40736961364746,30.40736961364746,29.725895603303666,29.841747536862975,71600
2008-09-12,30.748106002807617,30.82988475413478,30.25063029717719,30.632256671186298,19100
2008-09-15,29.487377166748047,30.564104620830744,29.37834144228883,30.257443433025692,123900
2008-09-16,29.978044509887695,29.984858106534894,28.621910010783306,29.133015546690153,128500
2008-09-17,28.356136322021484,29.91671255816057,28.335692931904717,29.569159328471944,118100
2008-09-18,29.848554611206055,29.848554611206055,24.430836892824352,27.947241913876848,129000
2008-09-19,31.627208709716797,31.627208709716797,30.686773847738525,31.627208709716797,78100
2008-09-22,30.482324600219727,32.01564074268319,30.284696562394277,31.62038726664869,58000
2008-09-23,30.679954528808594,31.48409391882786,29.98485085609957,30.918469348044578,94700
2008-09-24,29.712257385253906,32.029269403204594,29.541888930981543,32.029269403204594,44300
2008-09-25,30.557289123535156,30.90483966123756,29.89625862285848,30.564102718557468,58500
2008-09-26,30.85032081604004,31.041132657923438,29.814480275099754,29.814480275099754,92100
2008-09-29,28.894500732421875,30.42781734346654,27.095407058451027,30.42781734346654,100000
2008-09-30,29.31019401550293,31.347802309448504,28.328872444286613,29.23523406322372,98100
2008-10-01,28.880863189697266,29.187526949540626,28.34249821126298,28.34249821126298,90200
2008-10-02,27.327110290527344,28.928575980631425,27.327110290527344,28.75139125936197,152700
2008-10-03,27.08858299255371,28.362938244436663,27.08858299255371,28.349308456763197,111800
2008-10-06,25.793785095214844,26.98636437490725,24.757947094230268,26.98636437490725,192200
2008-10-07,24.608022689819336,26.727406912785654,24.533060145657835,26.727406912785654,154600
2008-10-08,24.226394653320312,24.873795325552496,23.722105464149095,24.84653574786313,117200
2008-10-09,23.067895889282227,24.64210190361676,22.16835033812456,24.567139341084083,141600
2008-10-10,22.33871841430664,23.91973799435274,21.037104389173386,22.147906513147788,387600
2008-10-13,25.344013214111328,26.066376478528607,23.354110688925896,26.066376478528607,368800
2008-10-14,25.88237953186035,26.897776830701808,24.32180360931266,26.897776830701808,235800
2008-10-15,22.740774154663086,24.53305051759053,22.291001665825213,24.32179275782745,140800
2008-10-16,23.279146194458008,23.28595978900456,21.125688971069163,22.5567829905531,196000
2008-10-17,23.054264068603516,23.9197336633647,22.52271264079279,22.98611511651665,84500
2008-10-20,24.669368743896484,24.669368743896484,22.999756286162565,23.306420223234998,113500
2008-10-21,23.142847061157227,24.39675881827849,23.054257348691714,24.39675881827849,160200
2008-10-22,21.445985794067383,22.54316062331369,21.1188785939223,22.54316062331369,207600
2008-10-23,21.398279190063477,22.038864989774872,20.750879795504993,21.807163770726245,134600
2008-10-24,21.24154281616211,21.418726196992637,19.762744310584647,20.430588461540047,157600
2008-10-27,20.055770874023438,20.95531593547964,19.96717856656638,20.355619661111472,129700
2008-10-28,21.261985778808594,22.209234065108742,20.083034967304567,21.11887558674271,51700
2008-10-29,22.82937240600586,22.91114853449303,21.255168284642476,21.255168284642476,92400
2008-10-30,23.027002334594727,23.544921323942585,22.28419572381372,23.544921323942585,70600
2008-10-31,23.027002334594727,23.340479686032022,22.24330635638502,22.29782551295662,89800
2008-11-03,23.04063606262207,23.64033128973104,22.461381623297175,23.613074306402023,83700
2008-11-04,24.28091812133789,24.349064478048664,23.544924990700554,23.640330929942383,112300
2008-11-05,23.006555557250977,24.526244499042928,22.999741962722858,24.526244499042928,145500
2008-11-06,21.650426864624023,23.020188307222217,21.616352388559168,21.90938768348348,160000
2008-11-07,22.706710815429688,22.706710815429688,21.923014767272416,21.923014767272416,179800
2008-11-10,22.495450973510742,23.36092308761632,22.147900448761426,23.36092308761632,144500
2008-11-11,21.60272216796875,22.624932971504023,21.364206053848868,21.807163808752502,125700
2008-11-12,20.61458969116211,21.343766705326406,20.519183741588037,21.200657780965297,115300
2008-11-13,22.15471076965332,22.168340556792415,19.98762530705097,20.44421277774629,210700
2008-11-14,20.83265495300293,22.14789966410199,20.83265495300293,22.14789966410199,77700
2008-11-17,20.655467987060547,21.466422073794572,19.762737782223574,21.261980478729235,110800
2008-11-18,20.805397033691406,21.05754162939302,20.04214575251763,20.675916638710238,177700
2008-11-19,19.42881965637207,20.723619713869237,19.422004761882143,20.63502868511662,254500
2008-11-20,18.140832901000977,19.69459231368858,18.12720311321752,19.319782248300143,275300
2008-11-21,19.565105438232422,19.565105438232422,18.16127025749001,19.08807472234907,246100
2008-11-24,20.580516815185547,21.146140224288153,19.762747435847718,20.08303977118726,273900
